type,term,level,pos,definition_url,voice_url
word,a,a1,indefinite article,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a__/a__us/a__us_2_rr.ogg
word,abandon,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aba/aband/abandon__us_2.ogg
word,ability,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abi/abili/ability__us_4.ogg
word,able,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abl/able_/able__us_2.ogg
word,abolish,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/aboli/abolish__us_1.ogg
word,abortion,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/abort/abortion__us_1.ogg
word,about,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg
word,about,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg
word,above,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg
word,above,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg
word,abroad,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abr/abroa/abroad__us_4.ogg
word,absence,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/absence,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absence__us_1.ogg
word,absent,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absent__us_1.ogg
word,absolute,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolute__us_1_rr.ogg
word,absolutely,b1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolutely__us_1_rr.ogg
word,absorb,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absor/absorb__us_2_rr.ogg
word,abstract,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/abstr/abstract__us_2_rr.ogg
word,absurd,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absur/absurd__us_1_rr.ogg
word,abundance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abund/abundance__us_1.ogg
word,abuse,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_3.ogg
word,abuse,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_1.ogg
word,academic,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
word,academic,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
word,academy,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academy,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academy__us_1.ogg
word,accelerate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accel/accelerate__us_1.ogg
word,accent,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accen/accent__us_1_rr.ogg
word,accept,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accept,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/accept__us_1.ogg
word,acceptable,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptable__us_3.ogg
word,acceptance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptance__us_1.ogg
word,access,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
word,access,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
word,accessible,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/accessible__us_1.ogg
